text,label
I have chosen the date and time for my death,high_risk
Had a pleasant phone call with my mother,normal
Student loan debt is making me extremely anxious,stress
I am going to hang myself tonight after everyone sleeps,high_risk
Organized my closet donating unused clothes,normal
I'm afraid to be alone with my own thoughts,stress
I put the plastic bag over my head and tied it,high_risk
Went bird watching in the forest saw a rare species,normal
I feel like I'm constantly walking on eggshells,stress
Goodbye cruel world I can't take any more of this,high_risk
Meditashion qildim va juda tinch his qilyapman,normal
Imtihon haqida juda tashvishlanayapman uxlay olmayapman,stress
Hayotimda hech qanday ma'no qolmadi endi davom etishni xohlamayman,high_risk
Bugun oddiy kun bo'ldi ishga bordim qaytdim,normal
Hamma narsadan bezildim bosim juda katta,stress
Men o'zimga zarar yetkazmoqchiman chunki boshqa yo'l ko'rmayapman,high_risk
Do'stlarim bilan birga film ko'rdik juda yaxshi o'tdi,normal
Ish joyidagi muammolar meni ruhiy holatimga ta'sir qilyapti,stress
Hech kim menga e'tibor bermaydi yo'qolsam yaxshi,high_risk
Yangi kitob o'qishni boshladim juda qiziqarli ekan,normal
Oilaviy muammolar meni kechasi uxlatmayapti,stress
O'zimni balkondan tashlamoqchiman boshqa chidolmayman,high_risk
Bog'da ishladim gullar juda chiroyli ochilgan,normal
Kelajagim haqida o'ylab juda qo'rqyapman,stress
Dori yutib uxlab qolmoqchiman boshqa uyg'onmasam bo'ldi,high_risk
Sport zal ga bordim yaxshi mashq qildim,normal
Pul muammolari meni juda bezovta qilyapti,stress
Hech kimga kerak emasman bu dunyoda,high_risk
Oshpazlik qildim yangi retsept sinab ko'rdim,normal
Har kuni bosh og'riq va stressdan azob chekayapman,stress
Men allaqachon qaror qildim bugun oxirgi kunim,high_risk
Onam bilan telefonda gaplashdim ko'nglim ko'tarildi,normal
Yolg'izlik hissi meni ichdan yeb turibdi,stress
Arqon tayyorlab qo'ydim hamma uxlaganda o'zimni osaman,high_risk
Velosipedda sayr qildim havo juda yoqimli edi,normal
Tushkunlik meni qamrab olgan hech narsa qilgim kelmaydi,stress
Xayrlashuv xatini yozdim endi ketaman,high_risk
